N = 6
q = 11
Calculated probability:
0.812842459277
Probability based on random polynomials
0.81158
####################################################
##################################################
N = 2
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
17		0.94116		289		0.99651		4913		0.99994
19		0.94212		361		0.98622		6859		0.99996
23		0.95651		529		0.99810		12167		0.99998
29		0.96322		841		0.99406		24389		0.99999
31		0.84878		961		0.99480		29791		0.99999
37		0.97297		1369		0.99926		50653		0.99999
41		0.88385		1681		0.99702		68921		0.99999
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98248		3481		0.99856		205379		0.99999
61		0.92067		3721		0.99865		226981		0.99999
67		0.98507		4489		0.99977		300763		0.99999
71		0.93153		5041		0.99900		357911		0.99999
##################################################
N = 7
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.38281		4		0.72674		8		0.93704
3		0.66575		9		0.88645		27		0.98765
5		0.79994		25		0.95987		125		0.99839
7		0.85714		49		0.97959		343		0.99958
11		0.90772		121		0.99173		1331		0.99993
13		0.90678		169		0.95930		2197		0.99975
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95636		529		0.99810		12167		0.99999
29		0.78220		841		0.99170		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.97293		1369		0.99926		50653		0.99999
41		0.97386		1681		0.99584		68921		0.99999
43		0.84813		1849		0.99622		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98111		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.98506		4489		0.99977		300763		0.99999
71		0.90547		5041		0.99861		357911		0.99999
##################################################
N = 11
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49951		4		0.74853		8		0.93749
3		0.66119		9		0.88885		27		0.98765
5		0.79948		25		0.95999		125		0.9984
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.61325		529		0.97940		12167		0.99996
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
43		0.97410		1849		0.99406		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.84754		4489		0.99755		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 13
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49987		4		0.74963		8		0.93658
3		0.57325		9		0.88402		27		0.98764
5		0.79616		25		0.95082		125		0.97939
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96535		841		0.99881		24389		0.99999
31		0.96773		961		0.99895		29791		0.99998
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.78065		2809		0.99538		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98358		3721		0.99973		226981		0.99999
67		0.98507		4489		0.99977		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 17
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49610		4		0.73834		8		0.90860
3		0.66666		9		0.88888		27		0.98765
5		0.79999		25		0.95999		125		0.99839
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92294		169		0.99380		2197		0.99940
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
